prefix	date	compname	medianame	devname	modelname	notes
00000C	1998-04-22	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00003B	2000-09-08	i Controls, Inc.	NULL	SCADA Device	NULL	NULL
000074	1998-04-22	RICOH COMPANY LTD.	WiFi	Network Interface Card	NULL	NULL
000092	2000-09-08	COGENT DATA TECHNOLOGIES	WiFi	Network Interface Card	NULL	NULL
0000AA	1998-04-22	XEROX CORPORATION	WiFi	Network Interface Card	NULL	NULL
0000C5	2000-09-08	ARRIS Group, Inc.	WiFi	Network Interface Card	NULL	NULL
0000CE	2000-09-08	MEGADATA CORP.	WiFi	Network Interface Card	NULL	NULL
0000DE	2000-09-08	CETIA	WiFi	Network Interface Card	NULL	NULL
000103	2000-09-08	3COM CORPORATION	WiFi	Network Interface Card	NULL	NULL
000123	2000-09-08	DIGITAL ELECTRONICS CORP.	NULL	SCADA Device	NULL	NULL
000124	2000-09-08	Acer Incorporated	WiFi	Network Interface Card	NULL	NULL
000138	2000-09-08	XAVi Technologies Corp.	WiFi	Network Interface Card	NULL	NULL
000195	2000-09-08	Sena Technologies, Inc.	WiFi	Network Interface Card	NULL	NULL
0001E6	2000-09-08	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
0001F0	2000-09-08	Tridium, Inc.	NULL	SCADA Device	NULL	NULL
0001F4	2000-09-08	Enterasys Networks	WiFi	Network Interface Card	NULL	NULL
00022D	2000-09-08	Agere Systems	WiFi	Network Interface Card	NULL	NULL
000231	2000-09-08	Ingersoll-Rand	NULL	Physical Access Device	NULL	NULL
000244	2000-09-08	SURECOM Technology Co.	WiFi	Network Interface Card	NULL	NULL
00026F	2000-09-08	Senao International Co., Ltd.	WiFi	Network Interface Card	NULL	NULL
000272	2000-09-08	CC&C Technologies, Inc.	WiFi	Network Interface Card	NULL	NULL
000279	2000-09-08	Control Applications, Ltd.	NULL	SCADA Device	NULL	NULL
00028A	2000-09-08	Ambit Microsystems Corporation	WiFi	Network Interface Card	NULL	NULL
0002A5	2000-09-08	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
0002B3	2000-09-08	Intel Corporation	WiFi	Network Interface Card	NULL	NULL
0002C7	2000-09-08	ALPS ELECTRIC Co., Ltd.	NULL	Videogame System	NULL	NULL
0002D9	2000-09-08	Reliable Controls	NULL	SCADA Device	NULL	NULL
00030A	2000-09-08	Argus Technologies	WiFi	Network Interface Card	NULL	NULL
00032F	2000-09-08	Global Sun Technology, Inc.	WiFi	Network Interface Card	NULL	NULL
00033D	2000-09-08	ILSHin Lab	NULL	SCADA Device	NULL	NULL
000352	2000-09-08	Colubris Networks	WiFi	Network Interface Card	NULL	NULL
000393	2000-11-09	Apple	WiFi	Network Interface Card	NULL	NULL
0003D6	2000-11-09	RADVision, Ltd.	NULL	Video Conferencing Device	NULL	NULL
0003FF	2000-11-09	Microsoft Corporation	Virtual	Virtual Computer	Virtual PC	NULL
00041F	2000-11-09	Sony Computer Entertainment, Inc.	NULL	Videogame System	NULL	NULL
000423	2000-11-09	Intel Corporation	WiFi	Network Interface Card	NULL	NULL
00045A	2000-12-04	The Linksys Group, Inc.	WiFi	Network Interface Card	NULL	NULL
000474	2000-12-04	LEGRAND	NULL	SCADA Device	NULL	NULL
000475	2000-12-04	3 Com Corporation	WiFi	Network Interface Card	NULL	NULL
000476	2000-12-04	3 Com Corporation	WiFi	Network Interface Card	NULL	NULL
0004DB	2001-01-24	Tellus Group Corp.	WiFi	Network Interface Card	NULL	NULL
0004E2	2001-01-24	SMC Networks, Inc.	WiFi	Network Interface Card	NULL	NULL
0004F2	2001-01-24	Polycom	NULL	Video Conferencing Device	NULL	NULL
000514	2001-02-02	KDT Systems Co., Ltd.	NULL	SCADA Device	NULL	NULL
000519	2001-02-02	Siemens Building Technologies AG,	NULL	SCADA Device	NULL	NULL
00053C	2001-02-02	Xircom	WiFi	Network Interface Card	NULL	NULL
00054E	2001-02-02	Philips	WiFi	Network Interface Card	NULL	NULL
00055D	2001-06-04	D-Link Systems, Inc.	WiFi	Network Interface Card	NULL	NULL
000569	2001-06-04	VMware, Inc.	Virtual	Virtual Computer	VMWare	NULL
000587	2001-06-04	Locus, Incorporated	WiFi	Network Interface Card	NULL	NULL
000597	2001-06-04	Eagle Traffic Control Systems	NULL	SCADA Device	NULL	NULL
0005E4	2001-06-04	Red Lion Controls Inc.	NULL	SCADA Device	NULL	NULL
000607	2001-06-04	Omni Directional Control Technology Inc.	NULL	SCADA Device	NULL	NULL
000625	2001-06-04	The Linksys Group, Inc.	WiFi	Network Interface Card	NULL	NULL
000654	2001-06-04	Winpresa Building Automation Technologies GmbH	NULL	SCADA Device	NULL	NULL
000671	2001-06-04	Softing AG	NULL	SCADA Device	NULL	NULL
0006B1	2001-06-04	Sonicwall	WiFi	Network Interface Card	NULL	NULL
00070E	2001-10-24	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000713	2001-10-24	IP One, Inc.	WiFi	Network Interface Card	NULL	NULL
000740	2001-10-24	Buffalo Inc.	WiFi	Network Interface Card	NULL	NULL
000744	2001-10-24	Unico, Inc.	NULL	SCADA Device	NULL	NULL
000750	2001-10-24	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000785	2001-10-24	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0007E0	2001-10-24	Palm Inc.	Bluetooth, WiFi	Smartphone	Treo	NULL
0007EB	2001-10-24	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000821	2001-12-14	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00086A	2001-12-14	Securiton Gmbh	NULL	SCADA Device	NULL	NULL
0008A1	2001-12-14	CNet Technology Inc.	WiFi	Network Interface Card	NULL	NULL
000914	2002-06-05	COMPUTROLS INC.	NULL	SCADA Device	NULL	NULL
000943	2002-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
00095B	2002-06-05	Netgear, Inc.	WiFi	Network Interface Card	NULL	NULL
00097C	2002-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0009B7	2002-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
0009BF	2002-06-05	Nintendo Co., Ltd.	NULL	Videogame System	NULL	NULL
0009E8	2002-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000A04	2002-06-05	3Com Ltd	WiFi	Network Interface Card	NULL	NULL
000A14	2002-06-05	TECO a.s.	NULL	SCADA Device	NULL	NULL
000A30	2002-06-05	Visteon Corporation	NULL	SCADA Device	NULL	NULL
000A41	2002-06-05	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000A5C	2002-10-14	Carel s.p.a.	NULL	SCADA Device	NULL	NULL
000A80	2002-10-14	Telkonet Inc.	NULL	SCADA Device	NULL	NULL
000A8A	2002-10-14	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000A95	2002-10-14	Apple	WiFi	Network Interface Card	NULL	NULL
000AA6	2002-10-14	Hochiki Corporation	NULL	SCADA Device	NULL	NULL
000AB0	2002-10-14	LOYTEC electronics GmbH	NULL	SCADA Device	NULL	NULL
000AB7	2002-10-14	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000AE9	2002-10-14	AirVast Technology Inc.	WiFi	Network Interface Card	NULL	NULL
000B5F	2002-10-14	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000B64	2002-10-14	Kieback & Peter GmbH & Co KG	NULL	SCADA Device	NULL	NULL
000B6B	2002-10-14	Wistron Neweb Corp.	WiFi	Network Interface Card	NULL	NULL
000B6C	2002-10-14	Sychip Inc.	WiFi	Network Interface Card	NULL	NULL
000B7D	2002-10-14	SOLOMON EXTREME INTERNATIONAL LTD.	WiFi	Network Interface Card	NULL	NULL
000B85	2002-10-14	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000B86	2002-10-14	Aruba Networks	WiFi	Network Interface Card	NULL	NULL
000BAC	2003-02-07	3Com Ltd	WiFi	Network Interface Card	NULL	NULL
000BBE	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000BCD	2003-02-07	Hewlett-Packard Company	WiFi	Network Interface Card	NULL	NULL
000BE6	2003-02-07	Datel Electronics	NULL	Videogame System	Datel Accessory	NULL
000BFD	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000C29	2003-02-07	VMware, Inc.	Virtual	Virtual Computer	VMWare	NULL
000C30	2003-02-07	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000C41	2003-02-07	Cisco-Linksys	WiFi	Network Interface Card	NULL	NULL
000C81	2003-04-11	Schneider Electric (Australia)	NULL	SCADA Device	NULL	NULL
000C85	2003-04-11	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
000CA9	2003-04-11	Ebtron Inc.	NULL	SCADA Device	NULL	NULL
000CCE	2003-04-11	CISCO SYSTEMS, INC.	WiFi	Network Interface Card	NULL	NULL
